Sr. No.,Symbol,Company Name
458,PRAJIND,Praj Industries Limited
459,VOLTAMP,Voltamp Transformers Limited
460,SCI,Shipping Corporation Of India Limited
461,USHAMART,Usha Martin Limited
462,EIDPARRY,EID Parry India Limited
463,RTNINDIA,RattanIndia Enterprises Limited
464,ANURAS,Anupam Rasayan India Limited
465,GLS,Glenmark Life Sciences Limited
466,DOMS,DOMS Industries Limited
467,INFIBEAM,Infibeam Avenues Limited
468,FORCEMOT,FORCE MOTORS LTD
469,ZYDUSWELL,Zydus Wellness Limited
470,STARCEMENT,Star Cement Limited
471,GODREJAGRO,Godrej Agrovet Limited
472,TTKPRESTIG,TTK Prestige Limited
473,ALKYLAMINE,Alkyl Amines Chemicals Limited
474,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
475,KPIGREEN,KPI Green Energy Limited
476,CRAFTSMAN,Craftsman Automation Limited
477,MAHLIFE,Mahindra Lifespace Developers Limited
478,REDTAPE,Redtape Limited
479,JUBLPHARMA,Jubilant Pharmova Limited
480,NETWEB,Netweb Technologies India Limited
481,NETWORK18,Network18 Media & Investments Limited
482,PRSMJOHNSN,Prism Johnson Limited
483,METROPOLIS,Metropolis Healthcare Limited
484,CERA,Cera Sanitaryware Limited
485,SBFC,SBFC Finance Limited
486,GRSE,Garden Reach Shipbuilders & Engineers Limited
487,KIRLOSBROS,Kirloskar Brothers Limited
488,UJJIVANSFB,Ujjivan Small Finance Bank Limited
489,SHRIPISTON,Shriram Pistons & Rings Limited
490,RENUKA,Shree Renuka Sugars Limited
491,RATEGAIN,Rategain Travel Technologies Limited
492,WOCKPHARMA,Wockhardt Limited
493,SAFARI,Safari Industries (India) Limited
494,HAPPYFORGE,Happy Forgings Limited
495,TECHNOE,Techno Electric & Engineering Company Limited
496,SHOPERSTOP,Shoppers Stop Limited
497,IBULHSGFIN,Indiabulls Housing Finance Limited
498,SYRMA,Syrma SGS Technology Limited
499,TEGA,Tega Industries Limited
500,ACI,Archean Chemical Industries Limited
501,MEDPLUS,Medplus Health Services Limited
502,MAHSCOOTER,Maharashtra Scooters Limited
503,NEULANDLAB,Neuland Laboratories Limited
504,AZAD,Azad Engineering Limited
505,ESABINDIA,Esab India Limited
506,GALAXYSURF,Galaxy Surfactants Limited
507,ZENTEC,Zen Technologies Limited
508,JSWHL,JSW Holdings Limited
509,TV18BRDCST,TV18 Broadcast Limited
510,HOMEFIRST,Home First Finance Company India Limited
511,MHRIL,Mahindra Holidays & Resorts India Limited
512,POWERMECH,Power Mech Projects Limited
513,KTKBANK,The Karnataka Bank Limited
514,JLHL,Jupiter Life Line Hospitals Limited
515,MASTEK,Mastek Limited
516,PGHL,Procter & Gamble Health Limited
517,THOMASCOOK,Thomas Cook  (India)  Limited
518,CCL,CCL Products (India) Limited
519,GSFC,Gujarat State Fertilizers & Chemicals Limited
520,RAJESHEXPO,Rajesh Exports Limited
521,QUESS,Quess Corp Limited
522,VARROC,Varroc Engineering Limited
523,TMB,Tamilnad Mercantile Bank Limited
524,MANINFRA,Man Infraconstruction Limited
525,EASEMYTRIP,Easy Trip Planners Limited
526,VIPIND,VIP Industries Limited
527,IONEXCHANG,ION Exchange (India) Limited
528,RESPONIND,Responsive Industries Limited
529,MIDHANI,Mishra Dhatu Nigam Limited
530,EMIL,Electronics Mart India Limited
531,GAEL,Gujarat Ambuja Exports Limited
532,BALRAMCHIN,Balrampur Chini Mills Limited
533,STAR,Strides Pharma Science Limited
534,JUBLINGREA,Jubilant Ingrevia Limited
535,SARDAEN,Sarda Energy & Minerals Limited
536,JMFINANCIL,JM Financial Limited
537,SOUTHBANK,The South Indian Bank Limited
