S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
139.,Indian Bank,https://www.screener.in/company/INDIANB/consolidated/,INDIANB,532.65,7.85,71746.04,2.25,2571.37,38.96,15040.63,15.25,5.92
140.,JSW Infrast,https://www.screener.in/company/JSWINFRA/consolidated/,JSWINFRA,341.00,63.56,71610.05,0.16,296.55,-8.87,1009.77,14.99,16.41
141.,Berger Paints,https://www.screener.in/company/BERGEPAINT/consolidated/,BERGEPAINT,613.90,61.33,71568.22,0.57,354.03,-0.22,3091.01,2.03,27.51
142.,Bharti Hexacom,https://www.screener.in/company/BHARTIHEXA/,BHARTIHEXA,1428.90,111.83,71445.00,0.28,511.20,-0.80,1910.60,13.61,14.30
143.,Yes Bank,https://www.screener.in/company/YESBANK/consolidated/,YESBANK,22.74,49.01,71282.82,0.00,516.00,48.84,7725.41,19.86,5.83
144.,Bharat Forge,https://www.screener.in/company/BHARATFORG/consolidated/,BHARATFORG,1528.50,73.68,71165.22,0.59,174.58,22.78,4106.15,5.90,12.90
145.,Oberoi Realty,https://www.screener.in/company/OBEROIRLTY/consolidated/,OBEROIRLTY,1953.20,32.44,71018.79,0.41,584.51,81.73,1405.16,54.42,15.24
146.,Ashok Leyland,https://www.screener.in/company/ASHOKLEY/consolidated/,ASHOKLEY,241.20,28.36,70826.63,2.05,550.65,-6.17,10724.49,10.66,15.01
147.,General Insuranc,https://www.screener.in/company/GICRE/consolidated/,GICRE,399.95,9.87,70167.23,2.50,1400.66,43.27,12886.47,15.41,15.78
148.,P I Industries,https://www.screener.in/company/PIIND/consolidated/,PIIND,4624.05,40.15,70155.22,0.32,448.80,17.21,2068.90,8.30,24.00
149.,NMDC,https://www.screener.in/company/NMDC/consolidated/,NMDC,234.29,11.27,68661.16,3.09,1969.02,19.18,5414.19,0.36,30.91
150.,Supreme Inds.,https://www.screener.in/company/SUPREMEIND/consolidated/,SUPREMEIND,5270.75,59.38,66952.69,0.57,273.37,26.83,2636.35,11.31,28.56
151.,Uno Minda,https://www.screener.in/company/UNOMINDA/consolidated/,UNOMINDA,1150.00,74.36,66028.84,0.17,210.80,15.21,3817.51,23.44,19.94
152.,Phoenix Mills,https://www.screener.in/company/PHOENIXLTD/consolidated/,PHOENIXLTD,1813.10,59.38,64816.48,0.14,314.71,-3.18,904.14,11.54,12.44
153.,Jindal Stain.,https://www.screener.in/company/JSL/consolidated/,JSL,781.80,25.49,64376.12,0.38,646.07,-12.41,9429.76,-7.41,22.23
154.,Thermax,https://www.screener.in/company/THERMAX/consolidated/,THERMAX,5279.45,105.71,62907.97,0.23,109.42,19.63,2184.41,13.01,16.93
155.,F A C T,https://www.screener.in/company/FACT/,FACT,967.50,296.86,62604.21,0.10,-48.67,-145.93,599.58,-51.36,16.94
156.,Abbott India,https://www.screener.in/company/ABBOTINDIA/,ABBOTINDIA,29184.70,50.05,62017.49,1.40,328.01,13.01,1557.61,5.32,46.02
157.,Patanjali Foods,https://www.screener.in/company/PATANJALI/,PATANJALI,1711.85,65.90,61968.09,0.35,262.90,199.60,7173.06,-7.65,11.14
158.,Aditya Birla Cap,https://www.screener.in/company/ABCAPITAL/consolidated/,ABCAPITAL,236.24,17.86,61542.94,0.00,779.24,16.97,8832.43,25.37,9.95
159.,Voltas,https://www.screener.in/company/VOLTAS/consolidated/,VOLTAS,1857.55,135.70,61463.49,0.30,335.00,158.51,4921.02,46.47,8.51
160.,Tata Comm,https://www.screener.in/company/TATACOMM/consolidated/,TATACOMM,2145.15,74.29,61136.78,0.78,332.93,-28.24,5633.37,18.07,17.55
161.,Indian Renewable,https://www.screener.in/company/IREDA/,IREDA,224.51,44.99,60343.01,0.00,383.69,30.25,1510.27,32.11,9.30
162.,Schaeffler India,https://www.screener.in/company/SCHAEFFLER/,SCHAEFFLER,3857.75,64.35,60298.05,0.67,253.54,6.85,2071.93,13.27,26.72
163.,MRF,https://www.screener.in/company/MRF/consolidated/,MRF,138852.15,28.53,58873.31,0.14,571.02,-3.01,7196.45,11.74,16.12
164.,Balkrishna Inds,https://www.screener.in/company/BALKRISIND/consolidated/,BALKRISIND,3013.35,35.75,58253.24,0.53,489.99,47.64,2714.50,25.71,17.62
165.,UCO Bank,https://www.screener.in/company/UCOBANK/,UCOBANK,48.55,29.30,58046.18,0.58,550.96,146.54,6023.99,15.32,5.34
166.,L&T Technology,https://www.screener.in/company/LTTS/,LTTS,5459.95,45.45,57786.76,0.92,312.60,4.34,2246.40,9.92,33.40
167.,Mphasis,https://www.screener.in/company/MPHASIS/consolidated/,MPHASIS,3053.70,36.96,57783.38,1.80,404.51,2.14,3422.46,5.24,23.95
