No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
323,MASI,Masimo Corporation,7.17B,134.01,0.68%,2.02B
324,BPOP,"Popular, Inc.",7.16B,98.99,-0.56%,2.60B
325,GNTX,Gentex Corporation,7.13B,30.99,0.13%,2.33B
326,WTFC,Wintrust Financial Corporation,7.09B,106.69,-0.35%,2.22B
327,NUVL,"Nuvalent, Inc.",7.08B,100.5,-0.54%,-
328,HLNE,Hamilton Lane Incorporated,6.98B,167.02,-0.11%,625.54M
329,HQY,"HealthEquity, Inc.",6.97B,79.77,1.44%,1.10B
330,NSIT,"Insight Enterprises, Inc.",6.93B,212.6,0.41%,9.04B
331,CCCS,CCC Intelligent Solutions Holdings Inc.,6.93B,11.11,0.73%,909.60M
332,GRFS,"Grifols, S.A.",6.92B,8.97,2.05%,7.30B
333,CGNX,Cognex Corporation,6.92B,40.36,0.15%,844.00M
334,JAZZ,Jazz Pharmaceuticals plc,6.90B,111.74,1.40%,3.91B
335,VKTX,"Viking Therapeutics, Inc.",6.88B,62.12,-0.32%,-
336,HCP,"HashiCorp, Inc.",6.87B,33.86,-0.03%,627.63M
337,ZION,"Zions Bancorporation, National Association",6.85B,46.35,0.06%,2.96B
338,SAIC,Science Applications International Corporation,6.79B,137.19,0.42%,7.30B
339,BOKF,BOK Financial Corporation,6.69B,104.34,0.12%,1.98B
340,CVLT,"Commvault Systems, Inc.",6.67B,152.6,0.12%,865.77M
341,LSTR,"Landstar System, Inc.",6.63B,186.89,1.26%,4.90B
342,FRPT,"Freshpet, Inc.",6.58B,135.74,-0.14%,875.14M
343,REYN,Reynolds Consumer Products Inc.,6.55B,31.16,0.68%,3.71B
344,LFUS,"Littelfuse, Inc.",6.55B,264.05,-1.02%,2.23B
345,ETSY,"Etsy, Inc.",6.51B,56.77,1.83%,2.77B
346,CRUS,"Cirrus Logic, Inc.",6.48B,121.38,-0.43%,1.85B
347,MAT,"Mattel, Inc.",6.48B,19.06,0.11%,5.43B
348,IONS,"Ionis Pharmaceuticals, Inc.",6.47B,41.1,-,813.46M
349,QXO,"QXO, Inc.",6.40B,15.64,2.89%,57.11M
350,NOVT,Novanta Inc.,6.34B,176.5,-1.00%,899.85M
351,CFLT,"Confluent, Inc.",6.31B,19.55,-0.74%,865.59M
352,GLBE,Global-E Online Ltd.,6.30B,37.73,0.07%,632.89M
353,VRNS,"Varonis Systems, Inc.",6.29B,56.04,-1.79%,520.78M
354,CWST,"Casella Waste Systems, Inc.",6.26B,98.88,0.63%,1.43B
355,WFRD,Weatherford International plc,6.22B,85,1.11%,5.44B
356,PEGA,Pegasystems Inc.,6.19B,72.53,-0.48%,1.49B
357,IEP,Icahn Enterprises L.P.,6.18B,13,-1.14%,10.28B
358,CYTK,"Cytokinetics, Incorporated",6.17B,52.44,-0.36%,3.13M
